id,label,label_id,timestamp,year,month,day,year_month,source_dataset,text
449,False,1,2023-02-12 20:21:00,2023,2,12,2023-02,baochinhphu.vn,"ít nhất 160.000 người , bao gồm cả các nhân viên cứu hộ nước ngoài , đang tìm kiếm người mất tích tại thổ nhĩ kỳ . trước những khó khăn mà cả thổ nhĩ kỳ và syria đang phải đối mặt , tổ chức y tế thế giới who đã gửi 35 tấn hàng cứu trợ tới thành phố aleppo , phía bắc của syia"
2117,False,1,2023-03-30 09:56:00,2023,3,30,2023-03,dantri.com.vn,"bên cạnh đó nhất là ủng hộ việc thi môn lịch sử cần thay đổi nhiều hơn cách ra đề bộ sẽ tiếp tục cầu thị , lắng nghe"
890,False,1,2023-03-28 17:44:14,2023,3,28,2023-03,dantri.com.vn,"sửa đổi quy chế làm đề để tránh kẽ hở thông tư mới sửa đổi , bổ sung một số quy định về làm đề thi nhằm tránh kẽ hở như vụ việc lọt đề sinh học năm vừa qua ."
788,True,0,2023-03-30 11:46:00,2023,3,30,2023-03,thanhnien.vn,"ngày 30.3 , tin từ bệnh viện nhi đồng 1 tp.hcm cho biết , bệnh viện vừa tiếp nhận bé gái 3 tuổi ngụ long an do nhét pin điện tử vào mũi . pin đã ăn mòn làm hoại tử một phần niêm mạc vách ngăn , cuốn mũi dưới và sàn mũi nơi pin tiếp xúc ."
2407,False,1,2023-04-01 11:33:00,2023,4,1,2023-04,baotintuc.vn,"grdp tăng 0,7 so với cùng kỳ năm 2022 . tổng sản phẩm trên địa bàn grdp"
980,True,0,2023-03-24 14:18:00,2023,3,24,2023-03,baotintuc.vn,"ở trận đấu với u23 iraq tại doha cup 2023 . trận đấu đó , các cầu thủ u23 việt nam đã phô bày nhiều nhược điểm"
2161,True,0,2023-03-21 17:19:45,2023,3,21,2023-03,nld.com.vn,"trường thpt nguyễn thị diệu cho biết rạng sáng thứ 7 ngày 18-3 , trường đã bị mất trộm gần 30 triệu đồng . nguyên tắc cơ bản , sơ đẳng nhất của kế toán là không để tiền mặt tại trường nhưng trong vụ việc này , thủ quỹ của trường vi phạm ."
2086,True,0,2023-02-13 14:43:00,2023,2,13,2023-02,baochinhphu.vn,"6 ngày nghỉ tết có 9 triệu lượt khách du lịch nội địa trên toàn quốc tăng 47,5 so với tết nguyên đán 2022 . lượng khách lưu trú đạt 2 triệu lượt , công suất phòng trung bình đạt 40-45 ."
2136,True,0,2023-03-24 22:59:06,2023,3,24,2023-03,vnexpress.net,"những vụ tập kích kiểu này phần lớn không hiệu quả . hội đồng an ninh quốc gia mỹ john kirby ngày 243 đề cập vụ tập kích rocket nhằm vào căn cứ tại đông bắc syria . kênh al mayadeen thân iran của lebanon và một nguồn tin an ninh cho biết vụ tập kích rocket nhằm vào căn cứ mỹ tại mỏ dầu al-omar , miền đông syria ."
2509,True,0,2023-03-30 19:21:00,2023,3,30,2023-03,baotintuc.vn,"ngày 303 , trường đại học kinh tế tp hồ chí minh đã ra mắt chuỗi sự kiện ueh sharing - career fair 2023 "" , thu hút 60 doanh nghiệp tham gia và cung cấp hơn 5.000 việc làm chất lượng cao ."
